Date,Sentiment
2017-04-09,0.163925
2017-04-10,0.1579369230769231
2017-04-11,0.0761705263157895
2017-04-12,0.0435670886075949
2017-04-13,0.0806426229508196
2017-04-14,0.128990625
2017-04-15,0.2170666666666666
2017-04-16,0.0687923076923077
2017-04-17,0.1179093023255813
2017-04-18,0.1300934426229508
2017-04-19,0.1647573770491803
2017-04-20,0.2407133333333333
2017-04-21,0.1187853658536585
2017-04-22,0.1193890243902438
2017-04-23,0.1611761904761904
2017-04-24,0.165191304347826
2017-04-25,0.1347249999999999
2017-04-26,0.6469260000000001
2017-04-27,0.5194506849315068
2017-04-28,0.53386
2017-04-29,0.3601325581395349
2017-04-30,0.5722295454545455
2017-05-01,0.159954
2017-05-02,-0.034911
2017-05-03,0.099576
2017-05-04,0.190875
2017-05-05,0.1866694736842105
2017-05-06,0.2941833333333333
2017-05-07,0.3098484848484849
2017-05-08,0.2032709999999999
2017-05-09,0.162136
2017-05-10,0.0861319999999999
2017-05-11,0.13782
2017-05-12,0.084412
2017-05-13,0.4628419354838709
2017-05-14,0.3822941176470588
2017-05-15,0.2063850574712643
2017-05-16,0.149253
2017-05-17,0.024843
2017-05-18,0.161692
2017-05-19,0.3051919354838709
2017-05-20,0.3309444444444444
2017-05-21,0.174276
2017-05-22,-0.070281
2017-05-23,0.101266
2017-05-24,0.12213375
2017-05-25,0.0944125
2017-05-26,0.0959509999999999
2017-05-27,0.1792813953488371
2017-05-28,0.0895951219512195
2017-05-29,0.2265818181818182
2017-05-30,0.1621858974358974
2017-05-31,0.112754
2017-06-01,0.1639365853658536
2017-06-02,0.1669875
2017-06-03,0.0145043478260869
2017-06-04,0.1288208333333333
2017-06-05,0.054883
2017-06-06,0.082296
2017-06-07,0.150905376344086
2017-06-08,0.0708255102040816
2017-06-09,0.0389679999999999
2017-06-10,0.180022
2017-06-11,0.179971875
2017-06-12,0.058944
2017-06-13,0.04695
2017-06-14,0.0436262626262626
2017-06-15,0.145665
2017-06-16,0.127803
2017-06-17,0.1962243243243243
2017-06-18,0.2812464285714285
2017-06-19,0.1275924050632911
2017-06-20,0.3280236842105263
2017-06-21,0.1733808510638297
2017-06-22,0.1564363636363636
2017-06-23,0.3112
2017-06-24,0.3264870967741936
2017-06-25,0.3079148148148148
2017-06-26,0.1097589999999999
2017-06-27,-0.0413539999999999
2017-06-28,0.0825112359550561
2017-06-29,0.0646529999999999
2017-06-30,0.08591
2017-07-01,0.5083714285714286
2017-07-02,0.5518177777777779
2017-07-03,0.1132909999999999
2017-07-04,0.1514769999999999
2017-07-05,0.2241794117647058
2017-07-06,0.116587
2017-07-07,-0.027098
2017-07-08,0.3378833333333333
2017-07-09,0.4262866666666666
2017-07-10,0.2155126984126984
2017-07-11,0.524384
2017-07-12,0.3290556701030928
2017-07-13,0.2239227848101266
2017-07-14,0.3171202127659575
2017-07-15,0.5551291666666667
2017-07-16,0.2844470588235294
2017-07-17,-0.0631565656565656
2017-07-18,0.2853686046511627
2017-07-19,0.6879239999999998
2017-07-20,0.5211939999999999
2017-07-21,0.4225044943820225
2017-07-22,0.3788986486486486
2017-07-23,0.2968471428571428
2017-07-24,0.38974
2017-07-25,0.4346009999999999
2017-07-26,0.5167959999999999
2017-07-27,0.468669
2017-07-28,0.491239
2017-07-29,0.3051292682926829
2017-07-30,0.222867469879518
2017-07-31,0.3124945054945055
2017-08-01,0.254752
2017-08-02,0.301093
2017-08-03,0.388359
2017-08-04,0.3716350649350649
2017-08-05,0.4547736842105263
2017-08-06,0.3886361111111111
2017-08-07,0.368436
2017-08-08,0.2414459999999999
2017-08-09,0.6871789999999998
2017-08-10,0.6650859999999997
2017-08-11,0.6707189999999997
2017-08-12,0.7772906666666667
2017-08-13,0.7269113402061853
2017-08-14,0.6446069999999999
2017-08-15,0.5847979999999999
2017-08-16,0.5108069999999999
2017-08-17,0.5910369999999999
2017-08-18,0.4942109999999999
2017-08-19,0.7234483333333334
2017-08-20,0.7427
2017-08-21,0.270641
