Date,Actual,Predicted_with_sentiment,Predicted_without_sentiment
2022-06-07,146.1959686279297,146.0117344386456,144.48282749029704
2022-06-08,145.45863342285156,145.41275206479645,145.15765926257382
2022-06-09,140.2285919189453,140.30036055961796,140.72379877852245
2022-06-10,134.81175231933594,134.76294015852932,136.28564716580468
2022-06-11,134.81175231933594,134.75067344934155,136.36905043038473
2022-06-12,134.81175231933594,134.71080294523244,134.2344728662656
2022-06-13,129.65045166015625,129.61722581970685,128.46223894515197
2022-06-14,130.5155792236328,130.52858016497748,130.67271029868493
2022-06-15,133.1404266357422,133.12182759405187,133.60911484811345
2022-06-16,127.86124420166016,127.89944262355698,127.71360715831065
2022-06-17,129.33590698242188,129.34144681791304,129.68441897582466
2022-06-18,129.33590698242188,129.31248169941477,130.30522691789088
2022-06-19,129.33590698242188,129.35557055002369,129.93789890554854
2022-06-20,129.33590698242188,129.2048483548649,128.57118922229256
2022-06-21,133.57302856445312,133.48300745480492,133.8771032318284
2022-06-22,133.0618133544922,132.89416842130345,132.2438108794206
2022-06-23,135.93246459960938,135.85124437330774,135.7219260319971
2022-06-24,139.26516723632812,139.17882229316797,138.96079596442587
2022-06-25,139.26516723632812,139.29389852640475,139.39361547841486
2022-06-26,139.26516723632812,139.1896314983087,139.00036313012924
2022-06-27,139.26516723632812,139.2347401387899,140.22169233356635
2022-06-28,135.11651611328125,135.15127990434166,135.8960422768855
2022-06-29,136.87623596191406,136.77250530699962,137.10090242444085
2022-06-30,134.4086456298828,134.3266211551279,134.26661194027747
2022-07-01,136.58126831054688,136.49723680154716,136.38428393715049
2022-07-02,136.58126831054688,136.40290595586316,135.3255441191841
2022-07-03,136.58126831054688,136.5280589429683,136.75896605620733
2022-07-04,136.58126831054688,136.4482513482708,136.2396285101063
2022-07-05,139.16685485839844,139.0836628157415,139.42164838620283
2022-07-06,140.5038299560547,140.3667102869979,139.82338681135116
2022-07-07,143.87586975097656,143.74403570539766,143.06544549628893
2022-07-08,144.55418395996094,144.42639914833376,143.6501857620642
2022-07-09,144.55418395996094,144.51788157240298,144.67753375428651
2022-07-10,144.55418395996094,144.46171217785923,144.76926032877986
2022-07-11,142.42086791992188,142.3848428958056,143.00599856726376
2022-07-12,143.39413452148438,143.28914647276747,143.83008763215457
2022-07-13,143.0303955078125,142.88920588256042,142.8240399148126
2022-07-14,145.96005249023438,145.86699022962898,145.77894810699058
2022-07-15,147.6312713623047,147.49562152848534,146.63328962897958
2022-07-16,147.6312713623047,147.59868260145618,147.568504129335
2022-07-17,147.6312713623047,147.5853579070972,147.88890347076176
2022-07-18,144.58367919921875,144.65381417065805,145.68719193850643
2022-07-19,148.44723510742188,148.3337381450167,149.0140152116012
2022-07-20,150.45277404785156,150.315122415745,149.46773548159467
2022-07-21,152.7237091064453,152.64237165698592,151.47457798291111
2022-07-22,151.48501586914062,151.4145909635538,150.39908056765262
2022-07-23,151.48501586914062,151.47969774332,152.56376261891592
2022-07-24,151.48501586914062,151.39406753093203,151.98533327167934
2022-07-25,150.36428833007812,150.3035437668434,150.83887686497337
2022-07-26,149.037109375,148.90233488880904,148.9416874980791
2022-07-27,154.13934326171875,153.99823514261266,153.99284163778884
2022-07-28,154.68991088867188,154.62684110125542,153.49475257708423
2022-07-29,159.76263427734375,159.72803128091505,158.42923240805385
2022-07-30,159.76263427734375,159.79712585094194,158.7106564635933
2022-07-31,159.76263427734375,159.94434855668828,160.7232549961209
2022-08-01,158.779541015625,158.78907314072308,159.43778081761866
2022-08-02,157.30490112304688,157.33491321464476,158.7064763123924
2022-08-03,163.3214569091797,163.11626208492567,162.73688191982887
2022-08-04,163.00686645507812,162.92420448311304,161.48583295112803
2022-08-05,162.78042602539062,162.74679590674782,162.1155042934397
2022-08-06,162.78042602539062,162.72720468483635,162.92657200237727
2022-08-07,162.78042602539062,162.8575958083136,164.2435193900983
2022-08-08,162.30789184570312,162.135569019204,162.23225258715684
2022-08-09,162.3571319580078,162.1942613014637,162.5925668236789
2022-08-10,166.61000061035156,166.48117282418366,166.31958223590254
2022-08-11,165.87167358398438,165.8925705426086,165.22185973355113
2022-08-12,169.42555236816406,169.3747400719251,168.94132867812004
2022-08-13,169.42555236816406,169.45304577158936,169.2155909878852
2022-08-14,169.42555236816406,169.5448167370689,170.38557461727942
2022-08-15,170.49859619140625,170.31980197272014,170.68898700798536
