Date,Actual,Predicted_Avg
2022-06-07,146.1959686279297,145.25221013813314
2022-06-08,145.45863342285156,146.07318144735464
2022-06-09,140.2285919189453,142.10267981233122
2022-06-10,134.81175231933594,138.1409077575336
2022-06-11,134.81175231933594,138.51607710100964
2022-06-12,134.81175231933594,136.9658299895492
2022-06-13,129.65045166015625,132.91871879710845
2022-06-14,130.5155792236328,134.87479478152275
2022-06-15,133.1404266357422,137.1806163861164
2022-06-16,127.86124420166016,132.19536662832434
2022-06-17,129.33590698242188,133.7887794639438
2022-06-18,129.33590698242188,134.07915776293427
2022-06-19,129.33590698242188,133.30832300964587
2022-06-20,129.33590698242188,131.87405997312544
2022-06-21,133.57302856445312,135.4780613930529
2022-06-22,133.0618133544922,133.74312112398763
2022-06-23,135.93246459960938,136.47803415861438
2022-06-24,139.26516723632812,139.26760552298398
2022-06-25,139.26516723632812,139.22351169249853
2022-06-26,139.26516723632812,138.72294908304045
2022-06-27,139.26516723632812,140.33872592573877
2022-06-28,135.11651611328125,136.33983762264677
2022-06-29,136.87623596191406,137.0248952587672
2022-06-30,134.4086456298828,135.67372166527173
2022-07-01,136.58126831054688,137.10699440254928
2022-07-02,136.58126831054688,136.39733361128322
2022-07-03,136.58126831054688,137.70369253652373
2022-07-04,136.58126831054688,137.49033070361827
2022-07-05,139.16685485839844,139.5791065486765
2022-07-06,140.5038299560547,140.11828918573744
2022-07-07,143.87586975097656,142.82747327101822
2022-07-08,144.55418395996094,143.09813078856857
2022-07-09,144.55418395996094,144.05600052463976
2022-07-10,144.55418395996094,144.3961895324918
2022-07-11,142.42086791992188,142.9660899533734
2022-07-12,143.39413452148438,144.84626654514216
2022-07-13,143.0303955078125,143.99204516944602
2022-07-14,145.96005249023438,146.91421024267714
2022-07-15,147.6312713623047,147.4165696735486
2022-07-16,147.6312713623047,148.2473469459646
2022-07-17,147.6312713623047,148.64244239854128
2022-07-18,144.58367919921875,146.54336185551222
2022-07-19,148.44723510742188,148.9443982239294
2022-07-20,150.45277404785156,149.32290764985157
2022-07-21,152.7237091064453,150.5920028761429
2022-07-22,151.48501586914062,149.82440412919016
2022-07-23,151.48501586914062,151.8153988804751
2022-07-24,151.48501586914062,151.72977914586772
2022-07-25,150.36428833007812,151.43792955110993
2022-07-26,149.037109375,150.06775443977637
2022-07-27,154.13934326171875,153.84053720175004
2022-07-28,154.68991088867188,153.23882009915368
2022-07-29,159.76263427734375,156.69189490604973
2022-07-30,159.76263427734375,157.1038443657308
2022-07-31,159.76263427734375,158.82030361191968
2022-08-01,158.779541015625,158.80115028006585
2022-08-02,157.30490112304688,158.00463066380055
2022-08-03,163.3214569091797,160.9242729810534
2022-08-04,163.00686645507812,159.906381332839
2022-08-05,162.78042602539062,160.84609845624377
2022-08-06,162.78042602539062,163.64674610885086
2022-08-07,162.78042602539062,164.9426100038714
2022-08-08,162.30789184570312,164.22234527200007
2022-08-09,162.3571319580078,165.1597169995297
2022-08-10,166.61000061035156,167.441959876408
2022-08-11,165.87167358398438,166.5811593651827
2022-08-12,169.42555236816406,169.04425343082673
2022-08-13,169.42555236816406,169.54058251382446
2022-08-14,169.42555236816406,170.6511673583831
2022-08-15,170.49859619140625,171.71004081589527
2022-08-16,170.34109497070312,173.05273872961155
2022-08-17,171.83749389648438,173.28014506707348
2022-08-18,171.4436798095703,173.2655480603344
2022-08-19,168.85455322265625,171.11493526114884
2022-08-20,168.85455322265625,171.512790118392
2022-08-21,168.85455322265625,171.6916340585425
2022-08-22,164.96595764160156,168.1127988269927
2022-08-23,164.6312255859375,168.17804635482116
2022-08-24,164.9265594482422,167.48632735221597
2022-08-25,167.38771057128906,169.40525734176018
2022-08-26,161.07733154296875,162.99479866272569
2022-08-27,161.07733154296875,164.71674453371577
2022-08-28,161.07733154296875,164.46419981542874
2022-08-29,158.8721466064453,162.24930340312855
2022-08-30,156.44052124023438,159.87194687479123
2022-08-31,154.7767791748047,159.6837538612859
2022-09-01,155.5052947998047,159.77672270736676
2022-09-02,153.38870239257812,157.70819836034784
2022-09-03,153.38870239257812,157.73206812248955
2022-09-04,153.38870239257812,157.5452448458118
2022-09-05,153.38870239257812,153.50561410868653
2022-09-06,152.1285858154297,151.9298965169479
2022-09-07,153.53636169433594,153.18245352686435
2022-09-08,152.0596923828125,150.64377513727695
2022-09-09,154.92442321777344,153.68125451133253
2022-09-10,154.92442321777344,152.80610474975546
2022-09-11,154.92442321777344,153.04991092374073
2022-09-12,160.89022827148438,157.8818332584669
2022-09-13,151.44932556152344,151.02789342747622
2022-09-14,152.8964385986328,152.97455541780994
2022-09-15,150.00213623046875,150.15782890648634
2022-09-16,148.3580780029297,149.2485301461019
2022-09-17,148.3580780029297,147.08798619747998
2022-09-18,148.3580780029297,148.73910099030033
2022-09-19,152.079345703125,150.38898199823691
2022-09-20,154.46173095703125,152.07092380706865
2022-09-21,151.33119201660156,150.0840799640837
2022-09-22,150.3663787841797,150.48046024632146
2022-09-23,148.09228515625,148.84517960707947
2022-09-24,148.09228515625,148.17201893162647
2022-09-25,148.09228515625,147.05466584769908
2022-09-26,148.42701721191406,146.4948998196382
2022-09-27,149.40164184570312,148.3125671671569
2022-09-28,147.51145935058594,146.89319871880113
2022-09-29,140.26583862304688,142.34174726637687
2022-09-30,136.0523223876953,140.32909503827966
2022-10-01,136.0523223876953,139.73031719026218
2022-10-02,136.0523223876953,137.76547600276533
2022-10-03,140.23631286621094,139.11966973678057
2022-10-04,143.82958984375,141.61849868459288
2022-10-05,144.1249237060547,145.0985917990521
2022-10-06,143.1699981689453,145.0088212077518
2022-10-07,137.91297912597656,142.24607224379986
2022-10-08,137.91297912597656,142.17007796273862
2022-10-09,137.91297912597656,140.62650178727324
2022-10-10,138.23785400390625,139.79224196686584
2022-10-11,136.82022094726562,138.05517012681685
2022-10-12,136.190185546875,139.0035455272059
2022-10-13,140.76791381835938,142.84101158075507
2022-10-14,136.2295684814453,139.02967321463578
2022-10-15,136.2295684814453,139.5503191438985
2022-10-16,136.2295684814453,139.48175675677246
2022-10-17,140.1969451904297,141.45426131298245
2022-10-18,141.51611328125,139.6525229211452
2022-10-19,141.62440490722656,140.96644162485515
2022-10-20,141.1616973876953,141.34335088356147
2022-10-21,144.9813995361328,145.89977227363667
2022-10-22,144.9813995361328,144.81804535689105
2022-10-23,144.9813995361328,144.94916997091616
2022-10-24,147.1275177001953,146.6614579949824
2022-10-25,149.97262573242188,149.10632735746995
2022-10-26,147.02908325195312,145.97839995185305
2022-10-27,142.54981994628906,142.9988848055504
2022-10-28,153.3197784423828,151.67404996824592
2022-10-29,153.3197784423828,149.61257318069408
2022-10-30,153.3197784423828,149.69414991220586
2022-10-31,150.9570770263672,149.24360001376405
2022-11-01,148.3088836669922,149.80667785448406
2022-11-02,142.77618408203125,144.3512577123852
2022-11-03,136.7218017578125,140.91830573951486
2022-11-04,136.45556640625,135.85258416202134
2022-11-05,136.45556640625,135.18615209142806
2022-11-06,136.45556640625,134.64255948434314
2022-11-07,136.98800659179688,135.2742385993771
2022-11-08,137.55996704101562,136.56643731324087
2022-11-09,132.99435424804688,133.57983898502277
2022-11-10,144.82748413085938,142.2109104194791
2022-11-11,147.61813354492188,140.60689221924807
2022-11-12,147.61813354492188,140.79450979121194
2022-11-13,147.61813354492188,141.5144005353022
2022-11-14,146.21786499023438,143.04063793105877
2022-11-15,147.95338439941406,142.87622038071095
2022-11-16,146.7207489013672,142.03029555145307
2022-11-17,148.62391662597656,144.4966150870028
2022-11-18,149.1859893798828,144.44795994071671
2022-11-19,149.1859893798828,144.79157322642416
2022-11-20,149.1859893798828,144.49757537803092
2022-11-21,145.95159912109375,142.3819481332638
2022-11-22,148.09144592285156,143.90492829696407
2022-11-23,148.96905517578125,145.05857003980506
2022-11-24,148.96905517578125,143.74848731626665
2022-11-25,146.05023193359375,140.81566946742998
2022-11-26,146.05023193359375,142.47281002197448
2022-11-27,146.05023193359375,142.1315395999767
2022-11-28,142.2143096923828,139.231354843716
