Date,Actual,Predicted_with_sentiment,Predicted_without_sentiment
2022-06-07,146.1959686279297,145.25221013813305,145.2544393955753
2022-06-08,145.45863342285156,146.0731814473546,146.07686382577214
2022-06-09,140.2285919189453,142.1026798123313,142.1075102340776
2022-06-10,134.81175231933594,138.14090775753368,138.143744773656
2022-06-11,134.81175231933594,138.51607710100967,138.52040000120684
2022-06-12,134.81175231933594,136.96582998954926,136.96806966307634
2022-06-13,129.65045166015625,132.91871879710857,132.917294460228
2022-06-14,130.5155792236328,134.87479478152278,134.88117082186096
2022-06-15,133.1404266357422,137.18061638611636,137.1857272286438
2022-06-16,127.86124420166016,132.19536662832434,132.20140630557108
2022-06-17,129.33590698242188,133.78877946394385,133.79176789060318
2022-06-18,129.33590698242188,134.0791577629342,134.08604570415434
2022-06-19,129.33590698242188,133.3083230096459,133.31312466267656
2022-06-20,129.33590698242188,131.87405997312544,131.87813910789134
2022-06-21,133.57302856445312,135.47806139305288,135.48303164600185
2022-06-22,133.0618133544922,133.74312112398758,133.74802600675446
2022-06-23,135.93246459960938,136.47803415861446,136.48245036718635
2022-06-24,139.26516723632812,139.26760552298396,139.27197014053812
2022-06-25,139.26516723632812,139.22351169249856,139.22815016581234
2022-06-26,139.26516723632812,138.72294908304042,138.72701735111482
2022-06-27,139.26516723632812,140.3387259257387,140.33691130467145
2022-06-28,135.11651611328125,136.33983762264666,136.33942952909763
2022-06-29,136.87623596191406,137.0248952587673,137.0261368136658
2022-06-30,134.4086456298828,135.6737216652716,135.67347018483093
2022-07-01,136.58126831054688,137.10699440254916,137.10504816811954
2022-07-02,136.58126831054688,136.39733361128333,136.3973250731102
2022-07-03,136.58126831054688,137.70369253652382,137.70174620405265
2022-07-04,136.58126831054688,137.49033070361816,137.48957158490046
2022-07-05,139.16685485839844,139.57910654867658,139.5810365572048
2022-07-06,140.5038299560547,140.11828918573738,140.12071558630063
2022-07-07,143.87586975097656,142.82747327101816,142.827103701096
2022-07-08,144.55418395996094,143.09813078856848,143.09756047147337
2022-07-09,144.55418395996094,144.0560005246397,144.0550003619208
2022-07-10,144.55418395996094,144.39618953249172,144.3954314917218
2022-07-11,142.42086791992188,142.96608995337343,142.96552448723313
2022-07-12,143.39413452148438,144.84626654514224,144.84564277496258
2022-07-13,143.0303955078125,143.99204516944596,143.99214483604263
2022-07-14,145.96005249023438,146.9142102426771,146.91293881977373
2022-07-15,147.6312713623047,147.41656967354857,147.41536056435604
2022-07-16,147.6312713623047,148.24734694596452,148.2461523671183
2022-07-17,147.6312713623047,148.64244239854122,148.6406732614609
2022-07-18,144.58367919921875,146.54336185551227,146.54183191945748
2022-07-19,148.44723510742188,148.94439822392934,148.94377428749868
2022-07-20,150.45277404785156,149.32290764985166,149.3218402258424
2022-07-21,152.7237091064453,150.59200287614289,150.59081643152274
2022-07-22,151.48501586914062,149.82440412919027,149.82349189047102
2022-07-23,151.48501586914062,151.81539888047502,151.81470993132507
2022-07-24,151.48501586914062,151.72977914586772,151.72885480183547
2022-07-25,150.36428833007812,151.43792955111005,151.43740531083137
2022-07-26,149.037109375,150.0677544397764,150.0677479973616
2022-07-27,154.13934326171875,153.84053720175007,153.83979696084816
2022-07-28,154.68991088867188,153.23882009915377,153.2378711391682
2022-07-29,159.76263427734375,156.69189490604975,156.68979366787295
2022-07-30,159.76263427734375,157.1038443657308,157.1019596966889
2022-07-31,159.76263427734375,158.82030361191966,158.81725678327297
2022-08-01,158.779541015625,158.80115028006583,158.7982619313844
2022-08-02,157.30490112304688,158.00463066380058,158.00248723205888
2022-08-03,163.3214569091797,160.92427298105338,160.92167253926758
2022-08-04,163.00686645507812,159.90638133283898,159.90462420610137
2022-08-05,162.78042602539062,160.84609845624374,160.8441023350957
