Date,Actual,Predicted_with_sentiment,Predicted_without_sentiment
2025-03-02,241.24948120117188,241.45771183471575,241.47485313163554
2025-03-03,237.4487762451172,240.39889012474407,240.2880648137928
2025-03-04,235.3539123535156,240.5227062808797,240.47124974361367
2025-03-05,235.1643829345703,239.4454019563268,239.35245316850387
2025-03-06,234.75538635253903,238.12861336551907,238.06291275106028
2025-03-07,238.4862518310547,240.2285929137888,240.18400268689763
2025-03-08,238.4862518310547,239.8777885887356,239.77997148394547
2025-03-09,238.4862518310547,240.3482616272446,240.2747770548839
2025-03-10,226.924545288086,233.0039154252477,232.9632642874673
2025-03-11,220.30075073242188,230.60178217518217,230.80381521390967
2025-03-12,216.4501800537109,227.43586650611883,227.5064805942975
2025-03-13,209.16799926757807,221.2722974331768,221.38343115170895
2025-03-14,212.9687042236328,221.572763366533,221.70856498673658
2025-03-15,212.9687042236328,220.26554818443432,220.24143482861928
2025-03-16,212.9687042236328,219.88085191892517,219.67965316879904
2025-03-17,213.4774627685547,219.6868554275524,219.52339563924593
2025-03-18,212.1706695556641,219.8313217301892,219.5508613133269
2025-03-19,214.7144317626953,220.71610144156472,220.3790409600918
2025-03-20,213.5772247314453,218.719411910532,218.3996894704407
2025-03-21,217.737045288086,220.7715572868555,220.4502456232159
2025-03-22,217.737045288086,219.373517007075,218.94437602799383
2025-03-23,217.737045288086,219.60278229520225,219.16161373816203
2025-03-24,220.19102478027344,221.4460189434962,221.00036847699724
2025-03-25,223.2036590576172,223.96019509637017,223.54597506129983
2025-03-26,220.98907470703125,221.6449654194194,221.25297751026568
2025-03-27,223.3034210205078,225.153852456146,224.6780703039101
2025-03-28,217.3679351806641,219.5931471165765,219.20497176689372
2025-03-29,217.3679351806641,219.992912073272,219.58112206777105
2025-03-30,217.3679351806641,218.8163286143537,218.2526514101785
2025-03-31,221.58761596679688,221.40055287944907,220.95533444461051
2025-04-01,222.64503479003903,221.20668150578007,221.20360477497616
2025-04-02,223.34332275390625,222.9928149020553,223.031128683428
2025-04-03,202.69384765625,209.5561180578561,209.75645082686967
2025-04-04,187.92002868652344,203.7179511456885,203.91706295700763
2025-04-05,187.92002868652344,203.44869494383715,203.81584261255057
2025-04-06,187.92002868652344,199.1458744888846,199.53923462546123
2025-04-07,181.0169219970703,190.0319106599844,190.65530552848122
2025-04-08,171.9989776611328,186.4631126441081,187.2895656648956
