Date,Actual,Predicted
2022-06-07,146.1959686279297,145.25221013813305
2022-06-08,145.45863342285156,146.07318144735459
2022-06-09,140.2285919189453,142.1026798123313
2022-06-10,134.81175231933594,138.14090775753368
2022-06-11,134.81175231933594,138.51607710100967
2022-06-12,134.81175231933594,136.96582998954926
2022-06-13,129.65045166015625,132.91871879710857
2022-06-14,130.5155792236328,134.87479478152278
2022-06-15,133.1404266357422,137.18061638611636
2022-06-16,127.86124420166016,132.19536662832434
2022-06-17,129.33590698242188,133.78877946394385
2022-06-18,129.33590698242188,134.0791577629342
2022-06-19,129.33590698242188,133.3083230096459
2022-06-20,129.33590698242188,131.87405997312544
2022-06-21,133.57302856445312,135.47806139305288
2022-06-22,133.0618133544922,133.74312112398758
2022-06-23,135.93246459960938,136.47803415861446
2022-06-24,139.26516723632812,139.26760552298396
2022-06-25,139.26516723632812,139.22351169249856
2022-06-26,139.26516723632812,138.72294908304042
2022-06-27,139.26516723632812,140.3387259257387
2022-06-28,135.11651611328125,136.33983762264666
2022-06-29,136.87623596191406,137.0248952587673
2022-06-30,134.4086456298828,135.67372166527161
2022-07-01,136.58126831054688,137.10699440254916
2022-07-02,136.58126831054688,136.39733361128333
2022-07-03,136.58126831054688,137.70369253652382
2022-07-04,136.58126831054688,137.49033070361816
2022-07-05,139.16685485839844,139.57910654867658
2022-07-06,140.5038299560547,140.11828918573738
2022-07-07,143.87586975097656,142.82747327101816
2022-07-08,144.55418395996094,143.09813078856848
2022-07-09,144.55418395996094,144.0560005246397
2022-07-10,144.55418395996094,144.39618953249172
2022-07-11,142.42086791992188,142.96608995337343
2022-07-12,143.39413452148438,144.84626654514224
2022-07-13,143.0303955078125,143.99204516944596
2022-07-14,145.96005249023438,146.9142102426771
2022-07-15,147.6312713623047,147.41656967354857
2022-07-16,147.6312713623047,148.24734694596452
2022-07-17,147.6312713623047,148.64244239854122
2022-07-18,144.58367919921875,146.54336185551227
2022-07-19,148.44723510742188,148.94439822392934
2022-07-20,150.45277404785156,149.32290764985166
2022-07-21,152.7237091064453,150.59200287614289
2022-07-22,151.48501586914062,149.82440412919027
2022-07-23,151.48501586914062,151.81539888047502
2022-07-24,151.48501586914062,151.72977914586772
2022-07-25,150.36428833007812,151.43792955111005
2022-07-26,149.037109375,150.0677544397764
2022-07-27,154.13934326171875,153.84053720175007
2022-07-28,154.68991088867188,153.23882009915377
2022-07-29,159.76263427734375,156.69189490604975
2022-07-30,159.76263427734375,157.1038443657308
2022-07-31,159.76263427734375,158.82030361191966
2022-08-01,158.779541015625,158.80115028006583
2022-08-02,157.30490112304688,158.00463066380058
2022-08-03,163.3214569091797,160.92427298105338
2022-08-04,163.00686645507812,159.90638133283898
2022-08-05,162.78042602539062,160.84609845624374
2022-08-06,162.78042602539062,163.64674610885086
2022-08-07,162.78042602539062,164.94261000387138
2022-08-08,162.30789184570312,164.22234527200018
2022-08-09,162.3571319580078,165.15971699952973
2022-08-10,166.61000061035156,167.44195987640802
2022-08-11,165.87167358398438,166.5811593651827
2022-08-12,169.42555236816406,169.04425343082673
2022-08-13,169.42555236816406,169.5405825138245
2022-08-14,169.42555236816406,170.6511673583832
2022-08-15,170.49859619140625,171.71004081589535
2022-08-16,170.34109497070312,173.05273872961158
2022-08-17,171.83749389648438,173.28014506707356
2022-08-18,171.4436798095703,173.2655480603344
2022-08-19,168.85455322265625,171.11493526114876
2022-08-20,168.85455322265625,171.512790118392
2022-08-21,168.85455322265625,171.69163405854252
2022-08-22,164.96595764160156,168.1127988269927
2022-08-23,164.6312255859375,168.17804635482116
2022-08-24,164.9265594482422,167.48632735221588
2022-08-25,167.38771057128906,169.40525734176006
2022-08-26,161.07733154296875,162.99479866272563
2022-08-27,161.07733154296875,164.71674453371577
2022-08-28,161.07733154296875,164.46419981542877
2022-08-29,158.8721466064453,162.24930340312852
2022-08-30,156.44052124023438,159.87194687479115
2022-08-31,154.7767791748047,159.6837538612859
2022-09-01,155.5052947998047,159.77672270736676
2022-09-02,153.38870239257812,157.70819836034784
2022-09-03,153.38870239257812,157.73206812248958
2022-09-04,153.38870239257812,157.5452448458118
2022-09-05,153.38870239257812,153.50561410868653
2022-09-06,152.1285858154297,151.92989651694793
2022-09-07,153.53636169433594,153.18245352686444
2022-09-08,152.0596923828125,150.643775137277
2022-09-09,154.92442321777344,153.6812545113325
2022-09-10,154.92442321777344,152.8061047497555
2022-09-11,154.92442321777344,153.04991092374073
2022-09-12,160.89022827148438,157.8818332584669
2022-09-13,151.44932556152344,151.02789342747627
2022-09-14,152.8964385986328,152.97455541781005
2022-09-15,150.00213623046875,150.1578289064863
2022-09-16,148.3580780029297,149.24853014610179
2022-09-17,148.3580780029297,147.08798619748006
2022-09-18,148.3580780029297,148.73910099030033
2022-09-19,152.079345703125,150.388981998237
2022-09-20,154.46173095703125,152.07092380706877
2022-09-21,151.33119201660156,150.08407996408377
2022-09-22,150.3663787841797,150.48046024632148
2022-09-23,148.09228515625,148.8451796070795
2022-09-24,148.09228515625,148.17201893162638
2022-09-25,148.09228515625,147.05466584769903
2022-09-26,148.42701721191406,146.49489981963814
2022-09-27,149.40164184570312,148.31256716715694
2022-09-28,147.51145935058594,146.89319871880116
2022-09-29,140.26583862304688,142.3417472663769
2022-09-30,136.0523223876953,140.3290950382796
2022-10-01,136.0523223876953,139.73031719026216
2022-10-02,136.0523223876953,137.76547600276533
