Price,Close
Ticker,AAPL
Date,
2017-04-10,33.17378234863281
2017-04-11,32.81695556640625
2017-04-12,32.85635757446289
2017-04-13,32.68257522583008
2017-04-17,32.8632926940918
2017-04-18,32.71733093261719
2017-04-19,32.59682846069336
2017-04-20,33.00464630126953
2017-04-21,32.96525192260742
2017-04-24,33.28269958496094
2017-04-25,33.48891067504883
2017-04-26,33.291961669921875
2017-04-27,33.317466735839844
2017-04-28,33.28501892089844
2017-05-01,33.96391677856445
2017-05-02,34.17941665649414
2017-05-03,34.07514190673828
2017-05-04,33.95234680175781
2017-05-05,34.51539993286133
2017-05-08,35.453819274902344
2017-05-09,35.6808967590332
2017-05-10,35.51174545288086
2017-05-11,35.81884765625
2017-05-12,36.31907653808594
2017-05-15,36.22602081298828
2017-05-16,36.17250442504883
2017-05-17,34.9579963684082
2017-05-18,35.49080276489258
2017-05-19,35.611793518066406
2017-05-22,35.82817459106445
2017-05-23,35.78396224975586
2017-05-24,35.67692184448242
2017-05-25,35.80023956298828
2017-05-26,35.739749908447266
2017-05-30,35.75371170043945
2017-05-31,35.54198455810547
2017-06-01,35.63970947265625
2017-06-02,36.16786193847656
2017-06-05,35.81420135498047
2017-06-06,35.9351921081543
2017-06-07,36.14923858642578
2017-06-08,36.06081008911133
2017-06-09,34.66250228881836
2017-06-12,33.83421325683594
2017-06-13,34.10642623901367
2017-06-14,33.77373123168945
2017-06-15,33.5713005065918
2017-06-16,33.101318359375
2017-06-19,34.04827880859375
2017-06-20,33.73882293701172
2017-06-21,33.93891906738281
2017-06-22,33.883087158203125
2017-06-23,34.0343017578125
2017-06-26,33.92728042602539
2017-06-27,33.44102096557617
2017-06-28,33.929603576660156
2017-06-29,33.429378509521484
2017-06-30,33.50849533081055
2017-07-03,33.38749313354492
2017-07-05,33.52477264404297
2017-07-06,33.20835494995117
2017-07-07,33.54571533203125
2017-07-10,33.750457763671875
2017-07-11,33.859825134277344
2017-07-12,33.9086799621582
2017-07-13,34.38098907470703
2017-07-14,34.67646789550781
2017-07-17,34.79745864868164
2017-07-18,34.918460845947266
2017-07-19,35.13713836669922
2017-07-20,34.97894287109375
2017-07-21,34.96263885498047
2017-07-24,35.3860969543457
2017-07-25,35.537330627441406
2017-07-26,35.70486068725586
2017-07-27,35.030120849609375
2017-07-28,34.78349304199219
2017-07-31,34.60434341430664
2017-08-01,34.911460876464844
2017-08-02,36.56106185913086
2017-08-03,36.195770263671875
2017-08-04,36.38656234741211
2017-08-07,36.949607849121094
2017-08-08,37.245094299316406
2017-08-09,37.47311019897461
2017-08-10,36.27952194213867
2017-08-11,36.784053802490234
2017-08-14,37.3376350402832
2017-08-15,37.74639129638672
2017-08-16,37.59457015991211
2017-08-17,36.872806549072266
2017-08-18,36.788734436035156
2017-08-21,36.72098159790039
2017-08-22,37.3212776184082
2017-08-23,37.36798858642578
2017-08-24,37.20216369628906
2017-08-25,37.339969635009766
2017-08-28,37.71603012084961
2017-08-29,38.05238723754883
2017-08-30,38.1551628112793
2017-08-31,38.30698013305664
2017-09-01,38.31867218017578
2017-09-05,37.858516693115234
2017-09-06,37.81881332397461
2017-09-07,37.66698455810547
2017-09-08,37.05266571044922
2017-09-11,37.72304153442383
2017-09-12,37.57354736328125
2017-09-13,37.29090881347656
2017-09-14,36.97090530395508
2017-09-15,37.344642639160156
2017-09-18,37.062007904052734
2017-09-19,37.076026916503906
2017-09-20,36.4547119140625
2017-09-21,35.828712463378906
2017-09-22,35.47834014892578
2017-09-25,35.16535568237305
2017-09-26,35.77031326293945
2017-09-27,36.0249137878418
2017-09-28,35.80302429199219
2017-09-29,35.999229431152344
2017-10-02,35.92681121826172
2017-10-03,36.083316802978516
2017-10-04,35.84972381591797
2017-10-05,36.295860290527344
2017-10-06,36.27485275268555
2017-10-09,36.4010009765625
2017-10-10,36.41499328613281
2017-10-11,36.56681823730469
2017-10-12,36.4383544921875
2017-10-13,36.669586181640625
2017-10-16,37.344642639160156
2017-10-17,37.482452392578125
2017-10-18,37.31660842895508
2017-10-19,36.43368148803711
2017-10-20,36.49675369262695
2017-10-23,36.478057861328125
2017-10-24,36.695289611816406
2017-10-25,36.53412628173828
2017-10-26,36.767704010009766
2017-10-27,38.0850830078125
2017-10-30,38.94232177734375
2017-10-31,39.48421859741211
2017-11-01,38.982032775878906
2017-11-02,39.26700210571289
2017-11-03,40.292415618896484
2017-11-06,40.701168060302734
2017-11-07,40.83197784423828
2017-11-08,41.16599655151367
2017-11-09,41.08191680908203
2017-11-10,40.94594955444336
2017-11-13,40.78184509277344
2017-11-14,40.16533279418945
2017-11-15,39.63554000854492
2017-11-16,40.10907745361328
2017-11-17,39.88636779785156
2017-11-20,39.846527099609375
2017-11-21,40.58728790283203
2017-11-22,41.01393127441406
2017-11-24,41.01628112792969
2017-11-27,40.80998992919922
2017-11-28,40.57088851928711
2017-11-29,39.72930908203125
2017-11-30,40.28487777709961
2017-12-01,40.097347259521484
2017-12-04,39.80432891845703
2017-12-05,39.76681900024414
2017-12-06,39.6191291809082
2017-12-07,39.69180679321289
2017-12-08,39.703521728515625
2017-12-11,40.47710037231445
2017-12-12,40.249717712402344
2017-12-13,40.38335037231445
2017-12-14,40.37161636352539
