Date,Close,Sentiment,Sentiment_Lag1,lag_1,lag_2,lag_3,lag_4,lag_5,MA_5,MA_20,Return_1D,Volatility_5D,RSI_14,Momentum_5D,MA_5_20_ratio,RSI_MA5
2017-04-29,33.28501892089844,0.3601325581395349,0.53386,33.28501892089844,33.317466735839844,33.291961669921875,33.48891067504883,33.28269958496094,33.333675384521484,32.98031635284424,0.0,0.004315865027174431,68.00538130907185,0.0023193359375,1.0107142095661723,2.040140504297651
2017-04-30,33.28501892089844,0.5722295454545455,0.3601325581395349,33.28501892089844,33.28501892089844,33.317466735839844,33.291961669921875,33.48891067504883,33.2928970336914,32.98587818145752,0.0,0.002678948834388434,68.00538130907185,-0.20389175415039062,1.0093075540156125,2.0426393425676492
2017-05-01,33.96391677856445,0.159954,0.5722295454545455,33.28501892089844,33.28501892089844,33.28501892089844,33.317466735839844,33.291961669921875,33.42728805541992,33.04322624206543,0.020396499076038133,0.009165639811025009,75.34674514627076,0.6719551086425781,1.0116229813311204,2.2540489979729
2017-05-02,34.17941665649414,-0.034911,0.159954,33.96391677856445,33.28501892089844,33.28501892089844,33.28501892089844,33.317466735839844,33.59967803955078,33.10937919616699,0.006344965433011884,0.009005980536917662,82.62603872457136,0.8619499206542969,1.014808427112766,2.4591318591598044
2017-05-03,34.07514190673828,0.099576,-0.034911,34.17941665649414,33.96391677856445,33.28501892089844,33.28501892089844,33.28501892089844,33.75770263671875,33.1790075302124,-0.0030508054249090977,0.0093985864505972,83.22881028938906,0.7901229858398438,1.0174415732157698,2.465476136959032
2017-05-04,33.95234680175781,0.190875,0.099576,34.07514190673828,34.17941665649414,33.96391677856445,33.28501892089844,33.28501892089844,33.891168212890626,33.24249610900879,-0.0036036564518659997,0.00997336427088255,74.43254236754733,0.667327880859375,1.0195133085747052,2.196222387496122
2017-05-05,34.51539993286133,0.1866694736842105,0.190875,33.95234680175781,34.07514190673828,34.17941665649414,33.96391677856445,33.28501892089844,34.137244415283206,33.33413734436035,0.016583629237504338,0.011007261521490086,81.46765745366915,1.2303810119628906,1.0240926002834188,2.3864743288182972
2017-05-06,34.51539993286133,0.2941833333333333,0.1866694736842105,34.51539993286133,33.95234680175781,34.07514190673828,34.17941665649414,33.96391677856445,34.24754104614258,33.42577857971192,0.0,0.008435040292719275,81.46765745366915,0.551483154296875,1.0245846612035174,2.3787885192664113
2017-05-07,34.51539993286133,0.3098484848484849,0.2941833333333333,34.51539993286133,34.51539993286133,33.95234680175781,34.07514190673828,34.17941665649414,34.314737701416014,33.50838394165039,0.0,0.0083305587951119,81.46765745366915,0.3359832763671875,1.0240642084412532,2.374130269114875
2017-05-08,35.453819274902344,0.2032709999999999,0.3098484848484849,34.51539993286133,34.51539993286133,34.51539993286133,33.95234680175781,34.07514190673828,34.59047317504883,33.64520835876465,0.027188424409579692,0.013271336535358384,85.19913020460972,1.3786773681640625,1.0280950493190477,2.463080796074986
2017-05-09,35.6808967590332,0.162136,0.2032709999999999,35.453819274902344,34.51539993286133,34.51539993286133,34.51539993286133,33.95234680175781,34.93618316650391,33.79941177368164,0.00640488073711154,0.011744197811897228,85.29859841560024,1.7285499572753906,1.0336328444649023,2.4415545913837198
2017-05-10,35.51174545288086,0.0861319999999999,0.162136,35.6808967590332,35.453819274902344,34.51539993286133,34.51539993286133,34.51539993286133,35.13545227050781,33.92476673126221,-0.0047406685794554315,0.012611620934044212,86.06915771295817,0.9963455200195312,1.0356873346587407,2.449638531768762
2017-05-11,35.81884765625,0.13782,0.0861319999999999,35.51174545288086,35.6808967590332,35.453819274902344,34.51539993286133,34.51539993286133,35.396141815185544,34.06744651794433,0.008647905065005013,0.0122089618230149,87.23712843624072,1.3034477233886719,1.0390018740482787,2.4645942739107944
2017-05-12,36.31907653808594,0.084412,0.13782,35.81884765625,35.51174545288086,35.6808967590332,35.453819274902344,34.51539993286133,35.75687713623047,34.23513774871826,0.013965521354472044,0.011648795845036754,89.64533732631239,1.8036766052246094,1.0444496047958676,2.507079602750871
2017-05-13,36.31907653808594,0.4628419354838709,0.084412,36.31907653808594,35.81884765625,35.51174545288086,35.6808967590332,35.453819274902344,35.929928588867185,34.402828979492185,0.0,0.00733889871806444,89.64533732631239,0.8652572631835938,1.0443887497128963,2.4950046061068103
2017-05-14,36.31907653808594,0.3822941176470588,0.4628419354838709,36.31907653808594,36.31907653808594,35.81884765625,35.51174545288086,35.6808967590332,36.05756454467773,34.554647827148436,0.0,0.007556601298437332,89.64533732631239,0.6381797790527344,1.0434938790739066,2.4861728310916793
2017-05-15,36.22602081298828,0.2063850574712643,0.3822941176470588,36.31907653808594,36.31907653808594,36.31907653808594,35.81884765625,35.51174545288086,36.20041961669922,34.69150333404541,-0.0025621721136018794,0.00699957525153308,84.90192685507917,0.7142753601074219,1.043495239299064,2.3453299092675155
2017-05-16,36.17250442504883,0.149253,0.2063850574712643,36.22602081298828,36.31907653808594,36.31907653808594,36.31907653808594,35.81884765625,36.27115097045898,34.83553047180176,-0.0014772913706344593,0.006783759604139712,82.36925318689161,0.3536567687988281,1.0412113562791288,2.270930229205497
2017-05-17,34.9579963684082,0.024843,0.149253,36.17250442504883,36.22602081298828,36.31907653808594,36.31907653808594,36.31907653808594,35.99893493652344,34.91755695343018,-0.03357544842263116,0.014603779758695647,60.538003473281506,-1.3610801696777344,1.030969433330232,1.6816609596930454
2017-05-18,35.49080276489258,0.161692,0.024843,34.9579963684082,36.17250442504883,36.22602081298828,36.31907653808594,36.31907653808594,35.83328018188477,35.02784614562988,0.015241331078284404,0.017806182927100667,66.72627841062261,-0.8282737731933594,1.0229940776236195,1.8621314619239229
2017-05-19,35.611793518066406,0.3051919354838709,0.161692,35.49080276489258,34.9579963684082,36.17250442504883,36.22602081298828,36.31907653808594,35.69182357788086,35.14418487548828,0.003409073442923516,0.01808346827364162,63.18777272539564,-0.7072830200195312,1.0155825974837716,1.7703710931865841
